version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
cpus=4
              nc-26365 [001] 211673.500500: funcgraph_entry:                   |                                      nf_ct_get_tuple() {
              nc-26365 [001] 211673.500500: funcgraph_entry:        0.073 us   |                                        ipv4_pkt_to_tuple();
              nc-26365 [001] 211673.500500: funcgraph_entry:        0.074 us   |                                        tcp_pkt_to_tuple();
              nc-26365 [001] 211673.500501: funcgraph_exit:         1.203 us   |                                      }
              nc-26365 [001] 211673.500502: funcgraph_entry:                   |                                      smp_irq_work_interrupt() {
              nc-26365 [001] 211673.500502: funcgraph_entry:                   |                                        irq_enter() {
              nc-26365 [001] 211673.500503: funcgraph_entry:        0.072 us   |                                          rcu_irq_enter();
              nc-26365 [001] 211673.500503: funcgraph_exit:         0.606 us   |                                        }
              nc-26365 [001] 211673.500503: funcgraph_entry:                   |                                        __wake_up() {
              nc-26365 [001] 211673.500504: funcgraph_entry:        0.064 us   |                                          _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500504: funcgraph_entry:        0.058 us   |                                          __wake_up_common();
              nc-26365 [001] 211673.500505: funcgraph_entry:        0.054 us   |                                          _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500506: funcgraph_exit:         1.603 us   |                                        }
              nc-26365 [001] 211673.500506: funcgraph_entry:                   |                                        __wake_up() {
              nc-26365 [001] 211673.500506: funcgraph_entry:        0.065 us   |                                          _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500507: funcgraph_entry:                   |                                          __wake_up_common() {
              nc-26365 [001] 211673.500507: funcgraph_entry:                   |                                            autoremove_wake_function() {
              nc-26365 [001] 211673.500507: funcgraph_entry:                   |                                              default_wake_function() {
              nc-26365 [001] 211673.500507: funcgraph_entry:                   |                                                try_to_wake_up() {
              nc-26365 [001] 211673.500508: funcgraph_entry:        0.066 us   |                                                  _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500518: funcgraph_entry:        0.100 us   |                                                  task_waking_fair();
              nc-26365 [001] 211673.500519: funcgraph_entry:                   |                                                  select_task_rq_fair() {
              nc-26365 [001] 211673.500519: funcgraph_entry:                   |                                                    select_idle_sibling() {
              nc-26365 [001] 211673.500519: funcgraph_entry:        0.047 us   |                                                      idle_cpu();
              nc-26365 [001] 211673.500520: funcgraph_entry:        0.053 us   |                                                      cpus_share_cache();
              nc-26365 [001] 211673.500520: funcgraph_entry:        0.066 us   |                                                      idle_cpu();
